Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 1,5/18/2024,0,0,0,0,0,0,1,25,6,1.1613,31,8.4,0:05:49,349,36,3.4935,1,222,11.71
MCAT Study 2,5/19/2024,0,0,100,0,2,0,0,19,73,1.0761,92,1.51,0:01:00,60,99,1.6632,0,1610,4.66
MCAT Study 3,5/19/2024,0,0,100,0,1,0,2,16,101,1.0769,117,1.48,0:00:53,53,126,1.857,2,3321,2.71
MCAT Study 4,5/19/2024,0,0,0,0,0,0,0,4,0,1,4,0.57,0:00:22,22,4,0.0255,0,497,0.6
MCAT Study 5,5/20/2024,1,0,100,0,3,0,1,28,61,1.0674,89,1.72,0:01:14,74,95,1.9588,1,2242,2.99
MCAT Study 6,5/20/2024,0,1,80,1,4,0,2,82,275,1.0756,357,1.16,0:00:56,56,384,6.0143,2,5962,4.68
MCAT Study 7,5/20/2024,5,0,100,0,6,0,1,24,150,1.1149,174,1.6,0:00:56,56,194,3.0466,1,3579,4
MCAT Study 8,5/21/2024,0,0,0,0,0,0,1,9,36,1.0444,45,1.49,0:01:11,71,47,0.931,1,1319,2.96
MCAT Study 9,5/21/2024,2,0,100,0,2,0,1,18,76,1.0745,94,4.48,0:01:02,62,101,1.7476,1,2088,3.64
MCAT Study 10,5/21/2024,2,1,100,0,4,0,4,31,164,1.0872,195,1.57,0:01:01,61,212,3.64,4,3982,4.29
MCAT Study 11,5/21/2024,3,0,100,0,5,0,0,49,149,1.1212,198,1.78,0:01:42,102,222,6.3329,0,3507,4.93
MCAT Study 12,5/22/2024,1,0,0,0,0,0,0,16,8,1.0833,24,1.36,0:01:31,91,26,0.6618,0,892,2.58
MCAT Study 13,5/22/2024,0,0,0,0,0,0,0,18,11,1.1379,29,1.16,0:00:40,40,33,0.3688,0,974,2.36
MCAT Study 14,5/22/2024,0,0,0,0,0,0,0,12,19,1.0645,31,2.48,0:02:00,120,33,1.109,0,1094,2.29
MCAT Study 15,5/23/2024,0,0,0,0,0,0,0,6,0,1,6,1.76,0:00:58,58,6,0.0978,0,872,0.69
MCAT Study 16,5/23/2024,0,0,0,0,0,0,0,17,3,1.05,20,1.01,0:00:20,20,21,0.1186,0,882,1.81
MCAT Study 17,5/23/2024,0,0,0,0,0,0,1,16,35,1.098,51,3.85,0:02:14,134,56,2.0933,1,1428,2.87
MCAT Study 18,5/23/2024,4,0,0,0,0,0,0,24,13,1.2432,37,0.95,0:00:34,34,46,0.4428,0,1032,2.81
MCAT Study 19,5/24/2024,1,0,100,0,2,0,1,23,24,1.1489,47,1.35,0:01:19,79,54,1.1922,1,1276,3.37
MCAT Study 20,5/24/2024,1,0,0,0,0,0,0,15,12,1.1481,27,4.63,0:03:41,221,31,1.9076,0,1303,1.92
MCAT Study 21,5/25/2024,1,0,100,0,2,0,1,61,211,1.0221,272,2.03,0:01:07,67,278,5.2136,1,8903,2.34
MCAT Study 22,5/25/2024,3,3,100,0,6,0,7,120,1003,1.0436,1123,1.22,0:00:54,54,1172,17.8378,7,29153,2.97
MCAT Study 23,5/25/2024,6,4,93.33,2,28,0,7,193,1308,1.064,1501,1,0:00:55,55,1597,24.4215,7,35090,3.34
MCAT Study 24,5/25/2024,7,4,94.59,2,35,0,7,250,1550,1.0656,1800,1.04,0:00:57,57,1918,30.5536,7,42291,3.31
MCAT Study 25,5/25/2024,2,0,100,0,12,0,2,100,559,1.0744,659,1.28,0:01:38,98,708,19.3032,2,17659,2.81
MCAT Study 26,5/26/2024,4,2,100,0,21,0,7,122,457,1.076,579,1.55,0:01:30,90,623,15.7446,7,17323,2.67
MCAT Study 27,5/26/2024,2,0,90,1,9,0,3,101,387,1.0697,488,0.73,0:00:45,45,522,6.58,3,14601,2.66
MCAT Study 28,5/26/2024,1,0,83.33,1,5,0,2,58,269,1.0459,327,1.59,0:01:03,63,342,6.0225,2,12143,2.22
MCAT Study 29,5/26/2024,5,0,100,0,3,1,7,65,294,1.0669,359,1.74,0:01:07,67,383,7.1803,6,12804,2.27
