Content,Date Published,COM+,SHR,LDR,DIS,LIK,SUBL,SUBG,RETV,NEWV,AVV,UQV,APV,AVD,AVDS,VIEWS,WT,SUBG,IMP,CTR
MCAT Study 1,5/18/2024,6,4,100,0,15,0,5,435,320,1.1815,755,1.84,0:01:16,76,892,18.995,5,7820,8.38
MCAT Study 2,5/19/2024,0,0,100,0,2,0,0,63,73,1.0882,136,2.16,0:01:26,86,148,3.5507,0,3571,3.05
MCAT Study 3,5/19/2024,0,0,100,0,1,0,2,0,0,0,0,2.1,0:01:14,74,142,2.9575,2,5195,1.94
MCAT Study 4,5/19/2024,0,0,0,0,0,0,1,0,0,0,0,3.92,0:02:36,156,30,1.3054,1,2313,0.95
MCAT Study 5,5/20/2024,1,0,100,0,3,0,1,0,0,0,0,2.41,0:01:44,104,115,3.3251,1,4036,2.06
MCAT Study 6,5/20/2024,0,1,80,1,4,0,2,0,0,0,0,1.4,0:01:08,68,436,8.2855,2,7858,4.07
MCAT Study 7,5/20/2024,5,0,100,0,6,0,1,0,0,0,0,1.5,0:00:53,53,213,3.1511,1,5345,2.88
MCAT Study 8,5/21/2024,0,0,0,0,0,0,1,0,0,0,0,1.41,0:01:07,67,51,0.9595,1,2872,1.46
MCAT Study 9,5/21/2024,2,0,100,0,2,0,1,0,0,0,0,4.26,0:00:59,59,108,1.7774,1,3681,2.2
MCAT Study 10,5/21/2024,2,1,100,0,4,0,4,0,0,0,0,1.56,0:01:01,61,231,3.9306,4,5671,3.21
MCAT Study 11,5/21/2024,3,0,100,0,5,0,0,0,0,0,0,1.75,0:01:40,100,229,6.4189,0,5221,3.45
MCAT Study 12,5/22/2024,1,0,0,0,0,0,0,0,0,0,0,1,0:01:07,67,53,0.9913,0,2413,1.7
MCAT Study 13,5/22/2024,0,0,0,0,0,0,0,0,0,0,0,1.04,0:00:36,36,47,0.4702,0,2506,1.32
MCAT Study 14,5/22/2024,0,0,0,0,0,0,0,0,0,0,0,2.15,0:01:44,104,41,1.1957,0,2602,1.19
MCAT Study 15,5/23/2024,0,0,0,0,0,0,0,0,0,0,0,1.46,0:00:48,48,11,0.1492,0,2332,0.39
MCAT Study 16,5/23/2024,0,0,0,0,0,0,0,0,0,0,0,1.02,0:00:20,20,26,0.1481,0,2340,0.85
MCAT Study 17,5/23/2024,0,0,0,0,0,0,1,0,0,0,0,3.44,0:02:00,120,65,2.1671,1,2889,1.66
MCAT Study 18,5/23/2024,4,0,0,0,0,0,0,0,0,0,0,0.96,0:00:34,34,49,0.4761,0,2510,1.27
MCAT Study 19,5/24/2024,1,0,100,0,2,0,1,0,0,0,0,1.28,0:01:15,75,65,1.3544,1,2723,1.84
MCAT Study 20,5/24/2024,1,0,0,0,0,0,1,0,0,0,0,4.31,0:03:26,206,34,1.9474,1,2756,0.98
MCAT Study 21,5/25/2024,1,2,60,2,3,0,1,0,0,0,0,2.03,0:01:07,67,341,6.3982,1,12062,2.06
MCAT Study 22,5/25/2024,5,3,100,0,8,0,9,0,0,0,0,1.24,0:00:55,55,1517,23.4578,9,40448,2.73
